"user_id","test_option","sale_dt","category","orderid","sale_price","gender","age"
18726,0,20200212,7,"19000062467726",-6300,"F",46
18726,0,20200210,7,"19000062298163",11420,"F",46
18726,0,20200210,7,"19000062298323",1890,"F",46
18726,0,20200210,9,"19000062298323",2970,"F",46
18726,0,20200222,2,"19000063263547",6810,"F",46
18726,0,20200222,2,"19000063263547",-6810,"F",46
18726,0,20200222,2,"19000063263547",9600,"F",46
18726,0,20200222,7,"19000063266345",4040,"F",46
18726,0,20200222,5,"19000063263864",-8000,"F",46
18726,0,20200222,5,"19000063263864",8000,"F",46
18726,0,20200222,5,"19000063261071",8000,"F",46
18726,0,20200222,5,"19000063261071",-8000,"F",46
18726,0,20200222,2,"19000063263547",-9600,"F",46
18726,0,20200222,7,"19000063266345",-4040,"F",46
18726,0,20200222,7,"19000063266345",4040,"F",46
18726,0,20200222,7,"19000063266345",-4040,"F",46
18726,0,20200222,6,"19000063345382",4900,"F",46
18726,0,20200222,0,"19000063271581",4270,"F",46
18726,0,20200213,7,"19000062616244",6110,"F",46
18726,0,20200213,3,"19000062617243",3120,"F",46
18726,0,20200213,7,"19000062616244",6110,"F",46
18726,0,20200213,7,"19000062616244",6900,"F",46
18726,0,20200216,1,"19000062759725",3930,"F",46
18726,0,20200216,3,"19000062759725",3120,"F",46
18726,0,20200216,7,"19000062760628",6960,"F",46
18726,0,20200216,9,"19000062760628",3950,"F",46
18726,0,20200215,4,"19000062692785",3960,"F",46
18726,0,20200215,4,"19000062692785",3960,"F",46
18726,0,20200210,3,"19000062298323",2950,"F",46
18726,0,20200212,4,"19000062467562",3960,"F",46
18726,0,20200212,7,"19000062467839",6390,"F",46
18678,1,20200222,6,"28000063795251",1186380,"M",34
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17500,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18659,1,20200225,7,"14000064321256",17820,"F",27
18647,1,20200214,7,"6000064071817",2500,"F",38
18647,1,20200214,7,"6000064071817",7000,"F",38
18647,1,20200212,2,"6000063949028",6920,"F",38
18647,1,20200212,3,"6000063948393",3560,"F",38
18647,1,20200212,3,"6000063950140",3560,"F",38
18647,1,20200212,3,"6000063948393",-3560,"F",38
18647,1,20200212,6,"6000063948393",-9900,"F",38
18647,1,20200212,6,"6000063948393",9900,"F",38
18647,1,20200212,6,"6000063950140",9900,"F",38
18647,1,20200212,1,"6000063950140",3880,"F",38
18647,1,20200212,6,"6000063949028",2480,"F",38
18647,1,20200212,1,"6000063948393",3880,"F",38
18647,1,20200212,1,"6000063948393",-3880,"F",38
18647,1,20200221,2,"6000064669760",4940,"F",38
18647,1,20200221,7,"6000064646184",21740,"F",38
18647,1,20200224,6,"6000064936375",17900,"F",38
18647,1,20200216,2,"6000064244524",16020,"F",38
18647,1,20200218,8,"6000064409142",9390,"F",38
18647,1,20200218,8,"6000064360736",57530,"F",38
18647,1,20200225,2,"6000065053164",6190,"F",38
18647,1,20200221,3,"6000064669760",31800,"F",38
18647,1,20200221,2,"6000064669760",4940,"F",38
18647,1,20200225,2,"6000065055196",6180,"F",38
18647,1,20200225,3,"6000065053164",6530,"F",38
18647,1,20200225,2,"6000065053164",6180,"F",38
18629,0,20200221,1,"9000063504396",49000,"F",36
18629,0,20200213,0,"9000062815468",13660,"F",36
18629,0,20200213,0,"9000062815468",13800,"F",36
18629,0,20200213,2,"9000062815468",6600,"F",36
18629,0,20200221,1,"9000063504461",26900,"F",36
18558,0,20200223,1,"23000064597428",29900,"M",27
18416,0,20200216,9,"19000062801740",5730,"M",36
18416,0,20200216,9,"19000062801740",6500,"M",36
18416,0,20200216,9,"19000062801740",5500,"M",36
18416,0,20200223,3,"19000063444591",9900,"M",36
18416,0,20200223,9,"19000063444591",5730,"M",36
18416,0,20200223,9,"19000063444591",5730,"M",36
18407,0,20200224,9,"29000064492253",7900,"F",37
18407,0,20200224,9,"29000064492253",10000,"F",37
18407,0,20200224,9,"29000064492253",7900,"F",37
18403,0,20200223,3,"17000064564685",9600,"F",28
18403,0,20200223,2,"17000064564685",20800,"F",28
18403,0,20200223,6,"17000064564685",7100,"F",28
18403,0,20200223,3,"17000064564685",22700,"F",28
18403,0,20200223,9,"17000064564685",6500,"F",28
18403,0,20200225,5,"17000064791853",15800,"F",28
18403,0,20200223,0,"17000064564685",13500,"F",28
18403,0,20200223,3,"17000064564685",10900,"F",28
18403,0,20200215,5,"17000063859102",13750,"F",28
18403,0,20200216,1,"17000063906895",9000,"F",28
18403,0,20200216,1,"17000063906895",-9000,"F",28
18403,0,20200216,1,"17000063907213",24900,"F",28
18403,0,20200226,5,"17000064791853",-15800,"F",28
18372,0,20200210,8,"2000062369832",16090,"F",38
